,time,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,status13,status14,status15,status16,status17,status18,status19,unsure,green,red,all,unsure percent,green percent,red percent
84,4.2,red,unsure,red,red,red,red,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,4,0,15,19,0.2105,0.0,0.7895
85,4.25,red,red,red,red,red,red,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,16,19,0.1579,0.0,0.8421
86,4.3,red,red,red,red,red,red,red,red,red,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,16,19,0.1579,0.0,0.8421
87,4.35,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
88,4.4,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
89,4.45,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
90,4.5,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
91,4.55,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
92,4.6,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
93,4.65,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
94,4.7,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
95,4.75,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
96,4.8,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
97,4.85,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
98,4.9,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
99,4.95,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
100,5.0,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
101,5.05,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
102,5.1,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
103,5.15,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,red,red,red,red,3,0,14,17,0.1765,0.0,0.8235
104,5.2,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,,red,red,red,3,0,13,16,0.1875,0.0,0.8125
105,5.25,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,,red,red,red,3,0,13,16,0.1875,0.0,0.8125
106,5.3,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,,red,red,red,3,0,13,16,0.1875,0.0,0.8125
107,5.35,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,,red,red,red,3,0,13,16,0.1875,0.0,0.8125
108,5.4,red,,red,red,red,red,red,red,,red,unsure,unsure,red,unsure,red,,red,red,red,3,0,13,16,0.1875,0.0,0.8125
109,5.45,red,,red,red,red,red,red,red,,red,unsure,red,red,unsure,red,,red,red,red,2,0,14,16,0.125,0.0,0.875
110,5.5,red,,red,red,red,red,red,red,,red,unsure,red,red,,red,,red,red,red,1,0,14,15,0.0667,0.0,0.9333
111,,,,red,,red,red,,red,,red,,red,red,,red,,red,red,,0,0,10,10,0.0,0.0,1.0
112,,,,red,,,red,,red,,,,,red,,,,,red,,0,0,5,5,0.0,0.0,1.0
113,,,,red,,,red,,red,,,,,red,,,,,,,0,0,4,4,0.0,0.0,1.0
114,,,,,,,red,,,,,,,,,,,,,,0,0,1,1,0.0,0.0,1.0
115,,,,,,,red,,,,,,,,,,,,,,0,0,1,1,0.0,0.0,1.0
